review,clean_review,label
"Amazing product, highly recommend","amazing product, highly recommend",1
Excellent quality and fast delivery,excellent quality and fast delivery,1
Very happy with this purchase,very happy with this purchase,1
Works perfectly as described,works perfectly as described,1
Fantastic value for money,fantastic value for money,1
"Amazing product, highly recommend","amazing product, highly recommend",1
Excellent quality and fast delivery,excellent quality and fast delivery,1
Very happy with this purchase,very happy with this purchase,1
Works perfectly as described,works perfectly as described,1
Fantastic value for money,fantastic value for money,1
"Amazing product, highly recommend","amazing product, highly recommend",1
Excellent quality and fast delivery,excellent quality and fast delivery,1
Very happy with this purchase,very happy with this purchase,1
Works perfectly as described,works perfectly as described,1
Fantastic value for money,fantastic value for money,1
"Amazing product, highly recommend","amazing product, highly recommend",1
Excellent quality and fast delivery,excellent quality and fast delivery,1
Very happy with this purchase,very happy with this purchase,1
Works perfectly as described,works perfectly as described,1
Fantastic value for money,fantastic value for money,1
"Amazing product, highly recommend","amazing product, highly recommend",1
Excellent quality and fast delivery,excellent quality and fast delivery,1
Very happy with this purchase,very happy with this purchase,1
Works perfectly as described,works perfectly as described,1
Fantastic value for money,fantastic value for money,1
"Terrible product, waste of money","terrible product, waste of money",0
Very disappointed with quality,very disappointed with quality,0
Not worth the price,not worth the price,0
Stopped working after a week,stopped working after a week,0
Poor build and bad experience,poor build and bad experience,0
"Terrible product, waste of money","terrible product, waste of money",0
Very disappointed with quality,very disappointed with quality,0
Not worth the price,not worth the price,0
Stopped working after a week,stopped working after a week,0
Poor build and bad experience,poor build and bad experience,0
"Terrible product, waste of money","terrible product, waste of money",0
Very disappointed with quality,very disappointed with quality,0
Not worth the price,not worth the price,0
Stopped working after a week,stopped working after a week,0
Poor build and bad experience,poor build and bad experience,0
"Terrible product, waste of money","terrible product, waste of money",0
Very disappointed with quality,very disappointed with quality,0
Not worth the price,not worth the price,0
Stopped working after a week,stopped working after a week,0
Poor build and bad experience,poor build and bad experience,0
"Terrible product, waste of money","terrible product, waste of money",0
Very disappointed with quality,very disappointed with quality,0
Not worth the price,not worth the price,0
Stopped working after a week,stopped working after a week,0
Poor build and bad experience,poor build and bad experience,0
